,stock_code,corp_name,sector,product
2006,036720,한빛네트,,
2018,040130,엔플렉스,,
2019,055000,동서정보기술,,
2781,032600,애드모바일,,
3884,037600,씨모스,,
3887,056140,리더컴,,
3957,012400,허메스홀딩스,,
3990,045880,유티엑스,,
4067,037830,글로포스트,,
4068,030390,쏠라엔텍,,
4069,041320,보홍,,
4110,078420,동북아1호선박투자회사,,
4117,046350,에듀아크,,
4136,013650,데코,,
4214,015390,엘앤씨피,,
4231,019640,희훈디앤지,,
4238,058690,퓨쳐인포넷,,
4243,035400,쓰리디넷,,
4245,024100,제일저축은행,,
4246,026540,제일창업투자,,
4269,016510,현대DSF,,
4271,950030,네프로아이티,,
4332,036790,자강,,
4343,038830,케이엠에스,,
4371,020070,에버리소스,,
4372,037110,제이에스,,
4414,007490,태창기업,,
4421,017300,에이치비이에너지,,
4423,001950,남한제지,,
4431,056850,코어비트,,
4449,082110,동북아8호선박투자회사,,
4510,045760,한국통신데이타,,
4520,062730,케너텍,,
4528,055250,다휘,,
4558,022520,코오롱아이넷,,
4626,004620,캠브리지코오롱,,
4642,089240,네오세미테크,,
4651,045260,디에이치패션,,
4683,032380,핸디소프트,,
4686,009690,케이엠에이치,,
4732,035710,씨엘엘씨디,,
4739,114410,현대푸드시스템,,
4768,002540,고제,,
4769,012420,메리츠종합금융,,
4786,034660,제넥셀세인,,
4787,065340,쓰리디월드,,
4823,043680,스톰이앤에프,,
4849,035010,소예,,
4902,048640,엠엔에프씨,,
4909,103150,하이트맥주,,
4938,066690,보광티에스,,
4939,040740,아인스엠앤엠,,
5093,038420,씨엔씨엔터프라이즈,,
5107,084810,아이알디,,
5135,067850,바이나믹,,
5238,086720,코크렙제7호위탁관리부동산투자회사,,
5239,054170,엔빅스,,
5333,054010,선팩테크,,
5377,001190,마이크로닉스,,
5396,033720,블루스톤디앤아이,,
5436,078700,신지소프트,,
5507,076850,맥쿼리센트럴오피스기업구조조정부동산투자회사,,
5550,048510,테스텍,,
5602,030030,중앙디자인,,
5699,042870,에코페트로시스템,,
5718,021060,한림창업투자,,
5767,036270,헤쎄나,,
5802,037510,미래에셋굿라이프혼합형자녀를위한투자회사10-1,,
5850,032030,일공공일안경콘택트,,
5913,004660,신동방CP,,
6017,043630,지앤알,,
6039,013240,셀런,,
6052,093820,한국베트남15-1유전해외자원개발투자회사,,
6115,052310,에이치원바이오,,
6126,008400,씨앤중공업,,
6127,001370,FnC코오롱,,
6161,017010,제너비오믹스,,
6178,011050,케드콤,,
6227,065410,지엔텍홀딩스,,
6241,044640,동부씨엔아이,,
6261,051820,아이피에스,,
6270,046240,에스브이에이치,,
6306,060750,제이콤,,
6318,043790,옥션,,
6325,088020,네이쳐글로벌,,
6345,094950,GB블루오션베트남주식혼합형투자회사1호,,
6392,052210,엠씨티티코어,,
6408,032930,에이스앤파트너스,,
6425,061050,지앤디윈텍,,
6445,014010,인터피온반도체,,
6446,007800,솔로몬저축은행,,
6456,046320,엠트론스토리지테크놀로지,,
6497,031800,에스티앤아이,,
6502,064060,사이노젠,,
6503,060670,유퍼트,,
6505,074140,엑스로드,,
6506,068770,선우중공업,,
6544,003020,남양,,
6549,015940,엘지데이콤,,
6550,045820,LG파워콤,,
6556,031960,동산진흥,,
6557,067950,티이씨,,
6558,008320,한국기술산업,,
6580,054020,지케이파워,,
6581,017050,스타맥스,,
6616,024870,유성티에스아이,,
6830,058550,네오리소스,,
